slide,notes
1,Ian holds a bachelor’s degree in Electrical Engineering from Christian Brothers University and a master’s in Computer Science with a concentration in Machine Learning from Georgia Tech. With two published papers in deep learning, they have a strong research background in AI. Beyond their technical expertise, they are passionate about mentorship and volunteer as a mentor at Youth Villages. They are also an active member of Second Presbyterian Church.
2,Discussing the role of data analytics in decision-making.
3,Key case studies from the past year in data science.
4,Q&A session and closing remarks.
5,Q&A session and closing remarks.
6,Q&A session and closing remarks.
7,Q&A session and closing remarks.
8,Q&A session and closing remarks.
9,Q&A session and closing remarks.
10,Q&A session and closing remarks.
11,Q&A session and closing remarks.
12,Q&A session and closing remarks.
13,Q&A session and closing remarks.
14,Q&A session and closing remarks.
15,Q&A session and closing remarks.
16,Q&A session and closing remarks.
17,Q&A session and closing remarks.
18,Q&A session and closing remarks.
19,Q&A session and closing remarks.
20,Q&A session and closing remarks.
21,Q&A session and closing remarks.
22,Q&A session and closing remarks.
23,Q&A session and closing remarks.
24,Q&A session and closing remarks.
25,Q&A session and closing remarks.
26,Q&A session and closing remarks.
